Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
182,Spurfowl,Red-billed,Pternistis,adspersus,0.1776,586,2024-05-16,0.0535,163,2024-04-10
188,Spurfowl,Red-necked,Pternistis,afer,3.8367,12656,2024-05-30,0.4995,1522,2024-05-27
185,Spurfowl,Swainson's,Pternistis,swainsonii,22.5517,74391,2024-06-01,4.7369,14433,2024-05-31
1236,Spurfowl,Yellow-necked,Pternistis,leucoscepus,0.0003,1,2020-03-05,0.0000,0,-
740,Starling,Black-bellied,Notopholia,corusca,6.0400,19924,2024-05-30,0.9150,2788,2024-05-30
743,Starling,Burchell's,Lamprotornis,australis,5.3400,17615,2024-05-30,2.9916,9115,2024-06-01
737,Starling,Cape,Lamprotornis,nitens,40.6267,134015,2024-06-01,9.6002,29251,2024-05-30
733,Starling,Common,Sturnus,vulgaris,17.1877,56697,2024-06-01,4.0484,12335,2024-05-31
738,Starling,"Greater Blue-eared",Lamprotornis,chalybaeus,3.5514,11715,2024-05-31,1.4946,4554,2024-05-31
742,Starling,Meves's,Lamprotornis,mevesii,1.4533,4794,2024-05-27,0.2337,712,2024-05-23
739,Starling,"Miombo Blue-eared",Lamprotornis,elisabeth,0.0009,3,2015-08-16,0.0003,1,2021-12-27
744,Starling,Pale-winged,Onychognathus,nabouroup,1.7749,5855,2024-05-27,0.4303,1311,2024-05-25
746,Starling,Pied,Lamprotornis,bicolor,17.5679,57951,2024-06-01,4.5108,13744,2024-05-31
745,Starling,Red-winged,Onychognathus,morio,28.8545,95182,2024-05-31,6.2286,18978,2024-06-01
736,Starling,Violet-backed,Cinnyricinclus,leucogaster,7.0616,23294,2024-05-27,1.3282,4047,2024-05-18
735,Starling,Wattled,Creatophora,cinerea,8.0162,26443,2024-06-01,1.5786,4810,2024-05-28
270,Stilt,Black-winged,Himantopus,himantopus,12.9403,42686,2024-06-01,2.8078,8555,2024-09-08
253,Stint,Little,Calidris,minuta,4.9953,16478,2024-05-05,0.8389,2556,2024-05-18
985,Stint,Temminck's,Calidris,temminckii,0.0279,92,2017-02-05,0.0062,19,2017-02-01
576,Stonechat,African,Saxicola,torquatus,33.8177,111554,2024-06-01,7.2040,21950,2024-05-31
78,Stork,Abdim's,Ciconia,abdimii,0.6212,2049,2024-05-22,0.3545,1080,2024-04-27
79,Stork,Black,Ciconia,nigra,0.9861,3253,2024-05-17,0.3692,1125,2024-05-24
73,Stork,Marabou,Leptoptilos,crumenifer,2.0602,6796,2024-05-22,0.6823,2079,2024-05-30
75,Stork,Saddle-billed,Ephippiorhynchus,senegalensis,1.8753,6186,2024-05-30,0.8376,2552,2024-05-30
80,Stork,White,Ciconia,ciconia,3.2949,10869,2024-05-23,1.3768,4195,2024-05-20
77,Stork,Woolly-necked,Ciconia,episcopus,4.1801,13789,2024-05-31,1.2045,3670,2024-05-31
76,Stork,Yellow-billed,Mycteria,ibis,3.2186,10617,2024-05-28,1.1343,3456,2024-05-22
30,Storm-petrel,European,Hydrobates,pelagicus,0.0064,21,2023-12-29,0.0036,11,2023-12-31
33,Storm-petrel,Wilson's,Oceanites,oceanicus,0.0085,28,2024-01-01,0.0039,12,2023-12-31
749,Sugarbird,Cape,Promerops,cafer,3.8509,12703,2024-05-31,0.7713,2350,2024-05-29
750,Sugarbird,Gurney's,Promerops,gurneyi,0.4899,1616,2024-05-30,0.1109,338,2024-05-04
772,Sunbird,Amethyst,Chalcomitra,amethystina,24.5225,80892,2024-06-01,3.6722,11189,2024-05-27
771,Sunbird,Collared,Hedydipna,collaris,7.6321,25176,2024-05-31,0.9127,2781,2024-05-28
764,Sunbird,Dusky,Cinnyris,fuscus,2.3976,7909,2024-05-30,0.4047,1233,2024-05-25
758,Sunbird,"Greater Double-collared",Cinnyris,afer,11.0392,36415,2024-05-31,1.6679,5082,2024-05-27
765,Sunbird,Grey,Cyanomitra,veroxii,3.6005,11877,2024-05-30,0.4473,1363,2024-05-18
751,Sunbird,Malachite,Nectarinia,famosa,12.3695,40803,2024-05-31,2.0719,6313,2024-05-29
755,Sunbird,Marico,Cinnyris,mariquensis,5.3051,17500,2024-05-30,0.8648,2635,2024-05-16
761,Sunbird,Neergaard's,Cinnyris,neergaardi,0.1088,359,2024-05-01,0.0266,81,2024-04-29
