Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2650_3210,666,Warbler,"African Yellow ",Iduna,natalensis,0.0,0.0,6.7,0.0,27.3,0.0,0.0,0.0,0.0,6.7,0.0,0.0,5,149,3.4
2650_3210,673,Batis,Chinspot,Batis,molitor,75.0,100.0,46.7,92.3,100.0,66.7,28.6,75.0,88.9,60.0,69.0,73.1,108,149,72.5
2650_3210,676,Batis,Woodward's,Batis,fratrum,12.5,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,149,1.3
2650_3210,677,Wattle-eye,Black-throated,Platysteira,peltata,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,149,0.7
2650_3210,680,Flycatcher,"Blue-mantled Crested",Trochocercus,cyanomelas,25.0,11.1,26.7,38.5,9.1,33.3,14.3,25.0,33.3,40.0,20.7,23.1,37,149,24.8
2650_3210,682,Flycatcher,"African Paradise",Terpsiphone,viridis,37.5,44.4,60.0,69.2,54.5,66.7,28.6,75.0,55.6,40.0,17.2,50.0,67,149,45.0
2650_3210,685,Wagtail,"African Pied",Motacilla,aguimp,75.0,55.6,66.7,84.6,45.5,66.7,28.6,50.0,88.9,60.0,75.9,76.9,102,149,68.5
2650_3210,686,Wagtail,Cape,Motacilla,capensis,12.5,0.0,0.0,0.0,0.0,0.0,14.3,0.0,11.1,0.0,0.0,0.0,3,149,2.0
2650_3210,692,Pipit,African,Anthus,cinnamomeus,0.0,0.0,0.0,7.7,18.2,0.0,14.3,25.0,11.1,0.0,0.0,0.0,6,149,4.0
2650_3210,699,Pipit,Bushveld,Anthus,caffer,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,6.7,0.0,0.0,2,149,1.3
2650_3210,704,Longclaw,Yellow-throated,Macronyx,croceus,25.0,11.1,6.7,0.0,9.1,0.0,0.0,25.0,0.0,6.7,20.7,0.0,13,149,8.7
2650_3210,707,Fiscal,"Southern ",Lanius,collaris,0.0,11.1,6.7,0.0,9.1,0.0,0.0,0.0,0.0,6.7,0.0,0.0,4,149,2.7
2650_3210,708,Shrike,Red-backed,Lanius,collurio,75.0,44.4,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,73.1,47,149,31.5
2650_3210,709,Boubou,Southern,Laniarius,ferrugineus,37.5,55.6,86.7,38.5,54.5,66.7,42.9,75.0,77.8,60.0,58.6,65.4,90,149,60.4
2650_3210,712,Puffback,Black-backed,Dryoscopus,cubla,75.0,100.0,86.7,84.6,100.0,100.0,100.0,50.0,100.0,66.7,86.2,88.5,129,149,86.6
2650_3210,713,Tchagra,Southern,Tchagra,tchagra,12.5,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,3.8,3,149,2.0
2650_3210,714,Tchagra,Brown-crowned,Tchagra,australis,0.0,11.1,13.3,23.1,27.3,66.7,14.3,50.0,33.3,26.7,17.2,23.1,32,149,21.5
2650_3210,715,Tchagra,Black-crowned,Tchagra,senegalus,50.0,22.2,13.3,15.4,27.3,33.3,0.0,25.0,11.1,13.3,20.7,19.2,29,149,19.5
2650_3210,717,Bushshrike,Olive,Chlorophoneus,olivaceus,0.0,0.0,6.7,0.0,9.1,0.0,0.0,0.0,11.1,6.7,0.0,7.7,6,149,4.0
2650_3210,719,Bushshrike,Orange-breasted,Chlorophoneus,sulfureopectus,62.5,55.6,60.0,61.5,72.7,66.7,14.3,50.0,77.8,73.3,79.3,65.4,98,149,65.8
2650_3210,721,Bushshrike,Gorgeous,Telophorus,viridis,75.0,77.8,86.7,46.2,45.5,33.3,42.9,50.0,55.6,73.3,75.9,80.8,102,149,68.5
2650_3210,723,Bushshrike,Grey-headed,Malaconotus,blanchoti,50.0,22.2,53.3,46.2,54.5,66.7,0.0,75.0,11.1,20.0,41.4,26.9,54,149,36.2
2650_3210,724,Shrike,Magpie,Urolestes,melanoleucus,0.0,0.0,0.0,0.0,9.1,0.0,14.3,0.0,0.0,0.0,0.0,0.0,2,149,1.3
2650_3210,725,Nicator,Eastern,Nicator,gularis,87.5,55.6,33.3,23.1,45.5,33.3,28.6,25.0,33.3,26.7,65.5,69.2,73,149,49.0
2650_3210,727,Helmetshrike,White-crested,Prionops,plumatus,50.0,44.4,33.3,30.8,45.5,33.3,28.6,25.0,33.3,20.0,24.1,46.2,51,149,34.2
2650_3210,728,Helmetshrike,Retz's,Prionops,retzii,25.0,0.0,20.0,15.4,9.1,0.0,0.0,25.0,0.0,6.7,20.7,30.8,24,149,16.1
2650_3210,731,,Brubru,Nilaus,afer,12.5,22.2,20.0,15.4,27.3,0.0,0.0,25.0,11.1,26.7,24.1,23.1,30,149,20.1
2650_3210,735,Starling,Wattled,Creatophora,cinerea,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,13.3,0.0,0.0,3,149,2.0
2650_3210,736,Starling,Violet-backed,Cinnyricinclus,leucogaster,50.0,55.6,40.0,38.5,0.0,0.0,0.0,0.0,0.0,26.7,86.2,69.2,67,149,45.0
2650_3210,737,Starling,Cape,Lamprotornis,nitens,25.0,11.1,20.0,23.1,36.4,0.0,14.3,25.0,22.2,13.3,37.9,42.3,41,149,27.5
2650_3210,740,Starling,Black-bellied,Notopholia,corusca,62.5,66.7,40.0,15.4,9.1,0.0,0.0,25.0,22.2,80.0,79.3,69.2,76,149,51.0
2650_3210,745,Starling,Red-winged,Onychognathus,morio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1,149,0.7
2650_3210,748,Oxpecker,Red-billed,Buphagus,erythrorynchus,37.5,11.1,13.3,23.1,9.1,0.0,14.3,0.0,22.2,13.3,34.5,38.5,35,149,23.5
2650_3210,755,Sunbird,Marico,Cinnyris,mariquensis,0.0,0.0,0.0,0.0,9.1,33.3,0.0,0.0,0.0,6.7,27.6,15.4,15,149,10.1
2650_3210,756,Sunbird,Purple-banded,Cinnyris,bifasciatus,25.0,0.0,0.0,7.7,0.0,0.0,57.1,50.0,33.3,20.0,48.3,30.8,37,149,24.8
2650_3210,761,Sunbird,Neergaard's,Cinnyris,neergaardi,12.5,0.0,0.0,0.0,9.1,0.0,14.3,0.0,0.0,0.0,0.0,0.0,3,149,2.0
