Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
3010_2850,311,Pigeon,Speckled,Columba,guinea,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,316,Dove,"Cape Turtle",Streptopelia,capicola,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,418,Hoopoe,African,Upupa,africana,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,495,Swallow,White-throated,Hirundo,albigularis,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,502,Swallow,"Greater Striped",Cecropis,cucullata,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,506,Martin,Rock,Ptyonoprogne,fuligula,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,523,Crow,Cape,Corvus,capensis,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,524,Raven,White-necked,Corvus,albicollis,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,564,Wheatear,Mountain,Myrmecocichla,monticola,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,569,Chat,Buff-streaked,Campicoloides,bifasciatus,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,570,Chat,Familiar,Oenanthe,familiaris,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,575,Chat,"Ant-eating ",Myrmecocichla,formicivora,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,581,Robin-Chat,Cape,Cossypha,caffra,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,682,Flycatcher,"African Paradise",Terpsiphone,viridis,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,692,Pipit,African,Anthus,cinnamomeus,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,707,Fiscal,"Southern ",Lanius,collaris,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,733,Starling,Common,Sturnus,vulgaris,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,746,Starling,Pied,Lamprotornis,bicolor,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,751,Sunbird,Malachite,Nectarinia,famosa,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,784,Sparrow,House,Passer,domesticus,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,786,Sparrow,Cape,Passer,melanurus,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,857,Canary,Cape,Serinus,canicollis,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,872,Bunting,Cinnamon-breasted,Emberiza,tahapisi,,,,,,,,,,,100.0,,1,1,100.0
3015_2820,6,Grebe,Little,Tachybaptus,ruficollis,,0.0,,100.0,,,,0.0,,,,,2,4,50.0
3015_2820,54,Heron,Grey,Ardea,cinerea,,100.0,,100.0,,,,0.0,,,,,3,4,75.0
